dataset,Delta,rmse_before,rmse_after,bias_norm,residual_sigma,n_10hz_points
附件1 无噪声,-198.4317014517301,5.698132965663562,9.055190894551715e-08,0.0,9.055190894551715e-08,7004
附件2 含噪+固定偏差,-50.494699392324925,3.996951346429083,0.7315150265234127,3.928145063447731,0.7314072656513831,6900
